tweet_id	publish_date	content	trump_mention
653862963003002880	10/13/2015 9:20	who can relate to this? ���� #morning #happyday #BlackTwitter #Blackpeoplebelike http://t.co/T3zAItmYH2	F
654360174539374593	10/14/2015 18:16	Why isn't this all over twitter? #MaryHawkes  #Boost #PoliceLies  #PoliceBrutality #StayWoke  http://t.co/xU4AKYBXld http://t.co/J0W7JsNmio	F
654440422203219968	10/14/2015 23:35	Where do all those 'fired' #cops go? #Colorado Police welcomes them with open arms  http://t.co/okf7ftapB4 http://t.co/XUhvBif9WD	F
786934425590329344	10/14/2016 14:19	"So... my cousin is trying to teach his cat to use the toilet ""to save on kitty litter""  My dude, WTF is this shit?!?  I gotta get my own apt https://t.co/15YqRf53BB"	F
654748657393098752	10/15/2015 20:00	IS THIS FOR REAL? #PoliceBrutality #PoliceIncompetence #DontCall911 #ACAB #FuckThePolice http://t.co/5sbD2bFgas	F
654754934441668608	10/15/2015 20:25	This shit is NOT OK, Officer! Tackling 14 y/o non-violent #GyasiHughes w/ a chokehold? Bad move, Officer! http://t.co/jKvLd6389h	F
654768867072307200	10/15/2015 21:20	State makes it legal to #ShootCops in self-defense if they violate your rights.  is That the solution? watcha think? http://t.co/CJEhEEWAzg	F
654989178355093505	10/16/2015 11:56	ALL #cops are scum bags and get exactly what they deserve! everyone HATES cops EVERYONE… ever wonder why?#acab #blm http://t.co/lKjqbvmdum	F
655040161122652160	10/16/2015 15:18	So Jesus just gonna leave His slides?  #BlackTwitter http://t.co/e6Nw7HNE48	F
655041602025447424	10/16/2015 15:24	'@christwords199 ya think his feet have to be dirty than? LMAO'	F
655045007762583554	10/16/2015 15:37	'@menchithekid or you think I'ma rasist bae???'	F
655335877963444226	10/17/2015 10:53	why the police still exists in America if It carries more damage than all criminals gather together? https://t.co/0h1i2YnK8P	F
655424415232978944	10/17/2015 16:45	Why Did A #Cop Shoot Robert Chambers In The Head? Disarm the Police! #PoliceBrutality #blackpeopletwitter #BLM #acab http://t.co/ZRYxkehuB3	F
655295244829757444	10/17/2015 8:12	'@4mysquad Strangely Hispanics r counted twice. Included n White census & a Hispanic category. Y count 1 group twice? Atlanta is still Black.'	F
655318024027672576	10/17/2015 9:42	Want to see if a police officer has a history of misconduct?These states make it hard #PoliceBrutality #BlackTwitter http://t.co/O252j6gYYn	F
655320269431533568	10/17/2015 9:51	How many people have been killed by police officers in America? #BlackLivesMatter #BlackTwitter #BlackPeople #acab http://t.co/6zJJg2NTQW	F
655873182600069120	10/18/2015 22:28	'@BlazinBrownSkin @deray @yungthugrat @ShaunKing may be its just a guy in Halloween costume?'	F
